Code,Country,Region,Subregion,Producer,Color,Wine,Alcohol_by_volume,Acidity,Residual_Sugar,Dosage,Years_in_Blend,Bottling_Date,Disgorgement_Date,Closure,Annual_cases_produced,Varieties,Maceration_Notes,Pumpover_Punchdown,Destemming ,Fermentation_vessel,Fermentation_duration,Aging_method,Aging_duration_months,Filtered,Fining_Agents,Yeast,Lees_Contact_Stirring,Malolactic,Added_Sulfur,Vineyard_Name,Soil_Type,Elevation_meters,Vineyard_Aspect,Vine_Age_years,Vine_Yields_hl_ha,Farming_practices,Vine_Training_Notes,Grape_Picking,Notes
FJD-LAN16,France,Loire,,Joel Delaunay,Red,2016 L'Antique des Cabotières  (Touraine),12.58,3.31 g/L,1.2 g/L,,,,,Natural Cork,500,"50% Cabernet Franc, 50% Malbec",Maceration in stainless steal tank 8 days.,No,Whole Cluster,Stainless Steel,20 days at 25°C with micro-oxygenation.,Stainless Steel 100%,4 months,No,N/A,Cultured,On fine lees,Yes,Yes,,Clay with Silex,138m,North,35,45,Sustainable,Guyot simple,Machine,Intense hue with purple-blue highlights. Profound nose showing crisp cherry and plum aromas. Full-bodied palate with soft tannins leaving a sensation of suppleness. Fruit makes way for pronounced peppery notes on the finish. A stellar wine from the Loire.
FJD-LAV16,France,Loire,,Joel Delaunay,White,2016 LA VOUTE SAUVIGNON BLANC (CHENONCEAUX),12.86,3.86,3.7,,,,,Natural Cork,2800,100% Sauvignon Blanc,100% of skin contact maceration in the press during 20 hours,No,Whole Cluster,Stainless Steel,20 days at 16 °C,Stainless Steel 100%,8,Yes,Bentonite,Cultured,"One fine lees with stirrring, 6 months",No,Yes,La Voute meaning: Name of Castle,Clay with Silex,138,North,25,55,Sustainable,Guyot simple,Machine,"This wine of Touraine Chenonceaux appellation is presented like Premium Sauvignon Blanc in Touraine region. Has been awarded a Gold Medal (96 points) in Decanter World Wine Awards 2018.
Has been awarded a Silver Medal in International Wine Challenge 2018. Obtained 91 points in Gilbert & Gaillard Wine Guide 2018.
Light yellow. Delicate nose marrying floral, honeyed and meadow tones. The palate is complex, fleshy and very elegant with crisp fruit and mineral-driven persistency. A wine for gourmet foods pairing with freshwater Loire fish in a sauce."
FJD-LGB17,France,Loire,,Joel Delaunay,White,2017 Sauvignon Blanc 'Le Grand Ballon',11.8,4.5,5,,,,,Screw-top,50000,100% Sauvignon Blanc,Direct pneumatic press,No,Whole Cluster,Stainless Steel,20 days at 16°C,Stainless Steel 100%,3,Yes,Bentonite,Cultured,On fine lees without stirring,No,Yes,,Clay with Silex,138,South,15,65,Sustainable,Guyot simple,Machine,"Has been awarded a Bronze Medal (86 points) in Decanter World Wine Awards 2018. Has been awarded a Silver Medal in Vins du Val de Loire Competition 2018.
Obtained 87 points in Gilbert & Gaillard Wine Guide 2018.
Very pale hue. Fairly delicate, distinctive nose of white flowers. Beautifully textured palate. A polished wine with clean, precise tangy floral aromatics and suggestions of citrus fruits."
FJD-TSB17,France,Loire,,Joel Delaunay,White,2017 Touraine Sauvignon,12.74,4.17,3.8,,,,,Screw-top,10000,100% Sauvignon Blanc,30% of skin contact maceration in the press during 12 hours,No,Whole Cluster,Stainless Steel,20 days at 16°C,Stainless Steel 100%,4,Yes,Bentonite,Cultured,On fine lees with stirring during 3 months,No,Yes,,Clay with Silex,138,North,25,45,Sustainable,Guyot simple,Machine,"Has been awarded a  Gold Medal in Concours Général Agricole 2018.
Has been awarded a Bronze Medal (89 points) in Decanter World Wine Awards 2018. Commended by the International Wine Challenge 2018.
Obtained 88 points in Gilbert & Gaillard Wine Guide 2018.
Pale yellow. Fairly elegant nose with pronounced fruit characters and a touch of flower honey. The palate combines freshness, structure and aroma with fairly elegant aromatics and a measure of length. A very well crafted Touraine."
FJD-GBR17,France,Loire,,Joel Delaunay,Rosé,2017 Rosé 'Le Grand Ballon',12.5,4.47,3.8,,,,,Screw-top,5000,"70%Gamay, 25%Cabernet Franc, 5%Malbec",Direct pneumatic press,No,Whole Cluster,Stainless Steel,20 days at 14 °C,Stainless Steel 100%,4,Yes,Bentonite,Cultured,On fine lees,No,Yes,,Clay with Silex,138,North,25,45,Sustainable,Guyot simple,Machine,"Commended by the International Wine Challenge 2018. Obtained 86 points in Gilbert & Gaillard Wine Guide 2018.
Pale pink. Forward nose recalling boiled sweets. The palate is easy-drinking and light with accessible, appealing aromas. Makes an enjoyable aperitif or partner for simple summer dishes."
FAG-BCH14,France,Burgundy,,Alain Geoffroy,White,2014 Bourgogne Chardonnay,12.5,4.3,1,,,,,Natural Cork,2000,100% Chardonnay,,,3%,Stainless Steel,2-3 weeks,Stainless Steel,6,Yes,Bentonite,Cultured,Contact,Yes,"Yes, 48ppm",Burgundy,,300,,25,60,Sustainable,,Machine,Grapes are coming from different vineyards arround Chablis but also from else about the wine some young vines we've in Chablis.
FAG-BPN16,France,Burgundy,,Alain Geoffroy,Red,2016 Bourgogne Pinot Noir,12.5,4.1,0,,,,,Natural Cork,1000,100% Pinot Noir,,,3%,Stainless Steel,2-3 weeks,Barrels,6,Yes,,Cultured,Contact,Yes,"Yes, 11ppm",Burgundy,,300,,20,50,Sustainable,,Hand-harvested,Small but very nice vines situated nearby Beine pres Chablis.
FAG-CBV17,France,Burgundy,,Alain Geoffroy,White,2017 Chablis 1er Cru Beauroy Vieilles Vignes,13,3.5,0,,,,,Natural Cork,4500,100% Chardonnay,,,3%,Barrel,2-3 weeks,Barrels,8,Yes,Bentonite,Cultured,Contact,Yes,"Yes, 38ppm",Chablis/Burgundy,Calcerous,300,,35,55,Sustainable,,Hand-harvested,Alain Geoffroy is known for this Beauroy cuvee. He's one of the largest owners in this AOC
FAG-CHA17,France,Burgundy,,Alain Geoffroy,White,2017 Chablis,12.5,4.17,1.2,,,,,Natural Cork,15000,100% Chardonnay,,,3%,Stainless Steel,2-3 weeks,Stainless Steel,8,Yes,Bentonite,,Contact,Yes,"Yes, 27ppm",Chablis/Burgundy,Calcerous,300,Northwest,35,45,Sustainable,Northwest,Machine,"A classic Chablis, fresh, fruity and with a typical ""Chablis"" finish (mineral).
Match perfectly with seafood, oyster, sushi, grilled fish."
FBL-PFR17,France,Loire,,Dom. de Bel Air,,2017 Pouilly Fume 'Cuvee Riquette',13,4.7,0,,,,,Natural Cork,6500,Sauvignon Blanc,,both,complete,Stainless Steel,3 weeks,Stainless Steel,6,Yes,Bentonite,Cultured,Yes,No,"Yes, 90 mg/l SO2total","""Riquette"" was the nickname of our great grand father",Calcareous/Sedimentary,150,Southeast,25-30,50-55,Sustainable,"We work daily in our vines which allows a strict and sensible control of the grapes and their development. From pruning to harvest, with de-budding or clearing in between if necessary, we look forward to our common and most important ai",Machine,"Our “Cuvée Riquette” is a selection of our older vines on Caillottes. Pouilly Fumé 2017 “Cuvée Riquette” expresses all the complexity, intensity and subtleties of this vineyard, long rooted in clayey limestones. The freshness of 2017 vintage is well balanced by the fine fruity touch of the Caillottes. It is a perfect match for your fish, shellfish (lobster, scallop) or goat cheese…"
FAM-SAV15,France,Loire,,Dom. Aux Moines,White,2015 Savennières - Roches aux Moines,13,5.22,3,,,,,Natural Cork,2300,100% Chenin Blanc,,,,,3 months,"New Barrique 20%, Used Barrique 40%, Stainless Steel 40%",12,Yes,,Spontaneous,,No,Yes,Domaine Aux Moines,Volcanic,80,Southwest,50,28,Certified Organic,,Hand-harvested,
FAM-SAV99,France,Loire,,Dom. Aux Moines,White,1999 Savennières - Roches aux Moines,13.5,5.3,1.5,,,,,Natural Cork,2500,100% Chenin Blanc,,,,,,"Used Barrique 30%, Stainless Steel 70%",12,Yes,,Spontaneous,,No,Yes,,Volcanic,80,Southwest,34,30,Conventional,,,
FAM-BDF15,France,Loire,,Dom. Aux Moines,White,2015  'le Berceau des Fées',13,5.2,2.1,,,,,Natural Cork,500,100% Chenin Blanc,,,,Stainless Steel,2 months,Stainless Steel 100%,8,Yes,,Spontaneous,,No,Yes,,Volcanic,80,Southwest,4,15,Certified Organic,,Hand-harvested,Fresh and great with shellfish. 
